;Zustandsname;Flächenheizer oben;Flächenheizer unten;FIT PT100;Druck Formwerkzeug;Stempelposition;Stempelgeschwindigkeit
09:22:23.221000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.222000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.223000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.224000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.225000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.226000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.227000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.228000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.229000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.230000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.231000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.232000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.233000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.234000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.235000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.236000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.237000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.238000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.239000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.240000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.241000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.242000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.243000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.244000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.245000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.246000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.247000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.248000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.249000;S2: Bearbeitung Heizen;100.210;99.930;0.000;0.000;0.000;0.000
09:22:23.250000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.251000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.252000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.253000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.254000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.255000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.256000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.257000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.258000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.259000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.260000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.261000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.262000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.263000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.264000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.265000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.266000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.267000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.268000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.269000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.270000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.271000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.272000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.273000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.274000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.275000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.276000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.277000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.278000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.279000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.280000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.281000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.282000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.283000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.284000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.285000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.286000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.287000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.288000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.289000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.290000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.291000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.292000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.293000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.294000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.295000;S2: Bearbeitung Heizen;100.210;99.940;0.000;0.000;0.000;0.000
09:22:23.296000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.297000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.298000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.299000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.300000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.301000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.302000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.303000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.304000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.305000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.306000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.307000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.308000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.309000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.310000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.311000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.312000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.313000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.314000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.315000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.316000;S2: Bearbeitung Heizen;100.210;99.950;0.000;0.000;0.000;0.000
09:22:23.317000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.318000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.319000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.320000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.321000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.322000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.323000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.324000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.325000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.326000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.327000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.328000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.329000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.330000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.331000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.332000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.333000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.334000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.335000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.336000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.337000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.338000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.339000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.340000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.341000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.342000;S2: Bearbeitung Heizen;100.180;99.950;0.000;0.000;0.000;0.000
09:22:23.343000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.344000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.345000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.346000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.347000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.348000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.349000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.350000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
09:22:23.351000;S2: Bearbeitung Heizen;100.180;99.940;0.000;0.000;0.000;0.000
